Key	Chinese	English
NotFound	{0} 未找到节点	{0} is not found
UnknownType	 {0}: 未知类型	{0} is unknown type 
UnknownVersion	{0}未知版本	{0} is unknown version
ColorParse	颜色:{0} 格式错误	Color:{0} is error
SpriteMimMap	{0} 无法从mimmap texture生成sprite	Cant make sprite from mimmap texture.
UnknownFontData	未知字体 [ {0} ]		unknkown font data. [ {0} ]
StringGridRowPraseColumnName	列:{0} 为空		Column {0} is null or emptyr.
StringGridRowPraseColumnIndex	列:{0} 索引为空		Column  index of {0} is null or emptyr.
StringGridRowPrase	{0}  无法转换为: {1} 请输入正确的格式	Column {0}: {1}. Parser Error.
StringGridParseHaeder	{0} 标题中指定的行不存在\n{1}	 {0}: Parser header error.\n{1}
StringGridGetColumnIndex	{0} 未找到指定名称的列\n\{1}	 Column {0} is not found
SoundNotReadyToPlay	{0} 声音未就绪	{0}: Sound is not readey to play.
TweenWrite	Tween保存错误		Tween save error
FileWrite	{0} 文件写入错误 {1}		{0} File write error.{1}
FileRead	{0} 文件读取错误 {1}		{0} File read error.{1}
MemoryLeak	内存泄漏	Memory leak.
FileReferecedIsNull	从文件中引用的对象为null	The object refereced from file is null.
FileIsNotReady	文件未就绪,请使用“ReadyToUse”	File is not ready. Call "ReadyToUse".
DisableChangeFileLoadFlag	禁止更改加载标志文件	Disable change FileLoadFlag
DisableChangeFileVersion	禁止更改版本文件	Disable change FileVersion
SingletonError	无法创建两个或更多单例对象	Can't create two or more  singlton Object.
NoChacheTypeFile	非缓存类型文件	Not cache type file.
ExpUnknownParameter	{0} 未知参数	Unknown paramter {0}.
ExpResultNotBool	表达式不是布尔值	Exceptoin is not boolean. 
ExpIllegal	{0} 表达式格式错误	Exceptoin parse error.{0}
PivotParse	{0} 支点格式错误	Pivot parse error.{0}
TextTagParse	{0} 文本标签格式错误	Text parse error.{0}
TextCallbackCalcExpression	文本回调表达式格式错误 	CallbackCalcExpression is not assigend.
TextFailedCalcExpression	计算表达式失败 	Failed calculate expression.
ExpressionOperateSubstition	{0} 到 {1} 异常操作错误 	Exceptoin operate error.{1}to{0}
ExpressionOperator	表达式操作:{0} 错误 	Exceptoin operator {0} error.

